file,route,category,bytes,noindex,indexable,robots,title,title_chars,description_chars,canonical,canonical_target_route,self_canonical,canonical_target_exists,canonical_target_noindex,h1_count,h1,main_words,paragraphs,h2_count,internal_links_raw,external_links,main_internal_links_raw,main_external_links,inlinks_all,inlinks_from_indexable,main_inlinks_all,main_inlinks_from_indexable,images,images_missing_alt,images_missing_dimensions,youtube_images,iframes,schema_types,schema_errors,article_schema,video_schema,faq_schema,job_schema,authors,date_published,date_modified,hidden_attr_nodes,hidden_attr_words,css_permanent_hidden_nodes,css_permanent_hidden_words,css_tab_hidden_words,title_page_nav_css_hidden,in_sitemap,in_news_sitemap
movie/masaan/index.html,/movie/masaan/,movie,13993,False,True,,Masaan (2015) | Cast & Trailer | BRYME,38,154,https://bryme.onrender.com/movie/masaan/,/movie/masaan/,True,True,False,1,Masaan,160,3,0,51,3,10,3,27,26,27,26,7,0,1,2,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],2,20,2,12,20,True,True,False
movie/mashle/index.html,/movie/mashle/,movie,982,True,False,"noindex,follow",Mashle: Magic and Muscles has moved | BRYME,43,74,https://bryme.onrender.com/anime/mashle/,/anime/mashle/,False,True,False,1,Mashle: Magic and Muscles has moved,21,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,[],0,0,0,0,0,[],[],[],0,0,0,0,0,False,False,False
movie/masters-of-the-universe/index.html,/movie/masters-of-the-universe/,movie,15720,False,True,,Masters of the Universe (2026) | Cast & Trailer | BRYME,55,129,https://bryme.onrender.com/movie/masters-of-the-universe/,/movie/masters-of-the-universe/,True,True,False,1,Masters of the Universe,382,10,4,50,4,9,4,3,3,3,3,3,0,1,3,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],2,20,2,12,31,True,True,False
movie/memento/index.html,/movie/memento/,movie,20726,False,True,,"Memento (2000) | Cast, Trailer & Where to Watch | BRYME",55,148,https://bryme.onrender.com/movie/memento/,/movie/memento/,True,True,False,1,Memento,486,18,6,63,10,22,10,12,11,12,11,12,0,1,12,0,"[""Article"",""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,1,1,0,0,[],[],[],3,62,2,17,18,True,True,False
movie/memories-of-murder/index.html,/movie/memories-of-murder/,movie,20202,False,True,,"Memories of Murder (2003) | Cast, Trailer & Where to Watch | BRYME",66,152,https://bryme.onrender.com/movie/memories-of-murder/,/movie/memories-of-murder/,True,True,False,1,Memories of Murder,427,14,5,61,10,20,10,15,14,15,14,12,0,1,10,0,"[""Article"",""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,2,1,0,0,[],[],[],3,56,2,14,16,True,True,False
movie/merry-men/index.html,/movie/merry-men/,movie,14894,False,True,,Merry Men (2018) | Cast & Trailer | BRYME,41,157,https://bryme.onrender.com/movie/merry-men/,/movie/merry-men/,True,True,False,1,Merry Men,230,5,0,51,3,10,3,9,8,9,8,7,0,1,2,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],2,20,2,12,24,True,True,False
movie/mi-final-reckoning/index.html,/movie/mi-final-reckoning/,movie,21462,True,False,"noindex,follow",Mission: Impossible – The Final Reckoning (2025) | BRYME,56,150,https://bryme.onrender.com/movie/mission-impossible-the-final-reckoning/,/movie/mission-impossible-the-final-reckoning/,False,True,False,1,Mission: Impossible – The Final Reckoning,495,18,5,61,10,20,10,4,4,4,4,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,74,2,14,24,True,False,False
movie/mickey-17/index.html,/movie/mickey-17/,movie,20465,False,True,,"Mickey 17 (2025) | Cast, Trailer & Where to Watch | BRYME",57,150,https://bryme.onrender.com/movie/mickey-17/,/movie/mickey-17/,True,True,False,1,Mickey 17,450,14,5,61,10,20,10,24,23,24,23,12,0,1,12,0,"[""Article"",""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,2,1,0,0,[],[],[],3,60,2,15,22,True,True,False
movie/midsommar/index.html,/movie/midsommar/,movie,20502,False,True,,"Midsommar (2019) | Cast, Trailer & Where to Watch | BRYME",57,124,https://bryme.onrender.com/movie/midsommar/,/movie/midsommar/,True,True,False,1,Midsommar,465,19,6,62,10,21,10,10,9,10,9,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,66,2,14,23,True,True,False
movie/minari/index.html,/movie/minari/,movie,19783,False,True,,"Minari (2020) | Cast, Trailer & Where to Watch | BRYME",54,132,https://bryme.onrender.com/movie/minari/,/movie/minari/,True,True,False,1,Minari,432,14,5,61,10,20,10,15,14,15,14,12,0,1,12,0,"[""BreadcrumbList"",""ListItem"",""Movie"",""Person"",""VideoObject""]",0,0,1,0,0,[],[],[],3,54,2,16,23,True,True,False
